home_team,game_date
Miami Heat,2022-05-04
Phoenix Suns,2022-05-04
Milwaukee Bucks,2022-05-07
Golden State Warriors,2022-05-07
Philadelphia 76ers,2022-05-06
Dallas Mavericks,2022-05-06
Philadelphia 76ers,2022-05-08
Dallas Mavericks,2022-05-08
Milwaukee Bucks,2022-05-09
Golden State Warriors,2022-05-09
Phoenix Suns,2022-05-10
Miami Heat,2022-05-10
Boston Celtics,2022-05-11
Memphis Grizzlies,2022-05-11
Philadelphia 76ers,2022-05-12
Dallas Mavericks,2022-05-12
Milwaukee Bucks,2022-05-13
Golden State Warriors,2022-05-13
Phoenix Suns,2022-05-15
Boston Celtics,2022-05-15
Miami Heat,2022-05-17
Golden State Warriors,2022-05-18
Miami Heat,2022-05-19
Golden State Warriors,2022-05-20
Boston Celtics,2022-05-21
Dallas Mavericks,2022-05-22
Boston Celtics,2022-05-23
Dallas Mavericks,2022-05-24
Miami Heat,2022-05-25
Golden State Warriors,2022-05-26
Boston Celtics,2022-05-27
Miami Heat,2022-05-29
Golden State Warriors,2022-06-02
Golden State Warriors,2022-06-05
Boston Celtics,2022-06-08
Boston Celtics,2022-06-10
Golden State Warriors,2022-06-13
Boston Celtics,2022-06-16
Detroit Pistons,2023-02-01
Miami Heat,2023-04-11
Toronto Raptors,2023-04-12
Los Angeles Lakers,2023-04-11
New Orleans Pelicans,2023-04-12
Philadelphia 76ers,2023-04-15
Cleveland Cavaliers,2023-04-15
Sacramento Kings,2023-04-15
Phoenix Suns,2023-04-15
Cleveland Cavaliers,2023-04-16
Phoenix Suns,2023-04-16
Boston Celtics,2023-04-15
Memphis Grizzlies,2023-04-16
Miami Heat,2023-04-14
Minnesota Timberwolves,2023-04-14
Milwaukee Bucks,2023-04-16
Denver Nuggets,2023-04-16
Philadelphia 76ers,2023-04-17
Boston Celtics,2023-04-18
Sacramento Kings,2023-04-17
Cleveland Cavaliers,2023-04-18
Memphis Grizzlies,2023-04-19
Phoenix Suns,2023-04-18
Milwaukee Bucks,2023-04-19
Denver Nuggets,2023-04-19
Brooklyn Nets,2023-04-20
Golden State Warriors,2023-04-20
Los Angeles Clippers,2023-04-20
Atlanta Hawks,2023-04-21
New York Knicks,2023-04-21
Minnesota Timberwolves,2023-04-21
Miami Heat,2023-04-22
Los Angeles Lakers,2023-04-22
Brooklyn Nets,2023-04-22
Los Angeles Clippers,2023-04-22
Golden State Warriors,2023-04-23
New York Knicks,2023-04-23
Atlanta Hawks,2023-04-23
Minnesota Timberwolves,2023-04-23
Phoenix Suns,2023-04-25
Miami Heat,2023-04-24
Los Angeles Lakers,2023-04-24
Cleveland Cavaliers,2023-04-26
Sacramento Kings,2023-04-26
Boston Celtics,2023-04-25
Denver Nuggets,2023-04-25
Memphis Grizzlies,2023-04-26
Milwaukee Bucks,2023-04-26
Atlanta Hawks,2023-04-27
Denver Nuggets,2023-04-29
Golden State Warriors,2023-04-28
Los Angeles Lakers,2023-04-28
New York Knicks,2023-04-30
Boston Celtics,2023-05-01
Sacramento Kings,2023-04-30
Denver Nuggets,2023-05-01
New York Knicks,2023-05-02
Golden State Warriors,2023-05-02
Boston Celtics,2023-05-03
Phoenix Suns,2023-05-05
Golden State Warriors,2023-05-04
Miami Heat,2023-05-06
Philadelphia 76ers,2023-05-05
Los Angeles Lakers,2023-05-06
Philadelphia 76ers,2023-05-07
Phoenix Suns,2023-05-07
Miami Heat,2023-05-08
Los Angeles Lakers,2023-05-08
Boston Celtics,2023-05-09
Denver Nuggets,2023-05-09
New York Knicks,2023-05-10
Golden State Warriors,2023-05-10
Philadelphia 76ers,2023-05-11
Phoenix Suns,2023-05-11
Miami Heat,2023-05-12
Los Angeles Lakers,2023-05-12
Boston Celtics,2023-05-14
Denver Nuggets,2023-05-16
Boston Celtics,2023-05-17
Denver Nuggets,2023-05-18
Boston Celtics,2023-05-19
Los Angeles Lakers,2023-05-20
Miami Heat,2023-05-21
Los Angeles Lakers,2023-05-22
Miami Heat,2023-05-23
Boston Celtics,2023-05-25
Miami Heat,2023-05-27
Boston Celtics,2023-05-29
Denver Nuggets,2023-06-01
Denver Nuggets,2023-06-04
Miami Heat,2023-06-07
Miami Heat,2023-06-09
Denver Nuggets,2023-06-12
Los Angeles Lakers,2023-12-09
Utah Jazz,2024-01-17
Chicago Bulls,2024-04-16
Chicago Bulls,2024-04-17
Sacramento Kings,2024-04-16
New Orleans Pelicans,2024-04-16
Philadelphia 76ers,2024-04-17
Sacramento Kings,2024-04-17
Cleveland Cavaliers,2024-04-20
Milwaukee Bucks,2024-04-20
Los Angeles Clippers,2024-04-20
Minnesota Timberwolves,2024-04-20
Milwaukee Bucks,2024-04-21
Los Angeles Clippers,2024-04-21
New Orleans Pelicans,2024-04-19
Denver Nuggets,2024-04-20
Miami Heat,2024-04-19
New York Knicks,2024-04-20
Boston Celtics,2024-04-21
Oklahoma City Thunder,2024-04-21
Cleveland Cavaliers,2024-04-22
Minnesota Timberwolves,2024-04-23
New York Knicks,2024-04-22
Denver Nuggets,2024-04-22
Los Angeles Clippers,2024-04-23
Boston Celtics,2024-04-24
Milwaukee Bucks,2024-04-23
Oklahoma City Thunder,2024-04-24
Orlando Magic,2024-04-25
Philadelphia 76ers,2024-04-25
Los Angeles Lakers,2024-04-25
Indiana Pacers,2024-04-26
Dallas Mavericks,2024-04-26
Phoenix Suns,2024-04-26
New Orleans Pelicans,2024-04-27
Miami Heat,2024-04-27
Orlando Magic,2024-04-27
Los Angeles Lakers,2024-04-27
Philadelphia 76ers,2024-04-28
Dallas Mavericks,2024-04-28
Indiana Pacers,2024-04-28
Phoenix Suns,2024-04-28
New Orleans Pelicans,2024-04-29
Cleveland Cavaliers,2024-04-30
Miami Heat,2024-04-29
Denver Nuggets,2024-04-29
New York Knicks,2024-04-30
Los Angeles Clippers,2024-05-01
Milwaukee Bucks,2024-04-30
Boston Celtics,2024-05-01
Denver Nuggets,2024-05-04
Indiana Pacers,2024-05-02
Philadelphia 76ers,2024-05-02
Orlando Magic,2024-05-03
Dallas Mavericks,2024-05-03
New York Knicks,2024-05-06
Cleveland Cavaliers,2024-05-05
Oklahoma City Thunder,2024-05-07
Denver Nuggets,2024-05-06
Boston Celtics,2024-05-07
New York Knicks,2024-05-08
Minnesota Timberwolves,2024-05-10
Boston Celtics,2024-05-09
Oklahoma City Thunder,2024-05-09
Indiana Pacers,2024-05-10
Dallas Mavericks,2024-05-11
Cleveland Cavaliers,2024-05-11
Indiana Pacers,2024-05-12
Minnesota Timberwolves,2024-05-12
Dallas Mavericks,2024-05-13
Cleveland Cavaliers,2024-05-13
New York Knicks,2024-05-14
Denver Nuggets,2024-05-14
Boston Celtics,2024-05-15
Oklahoma City Thunder,2024-05-15
Minnesota Timberwolves,2024-05-16
Indiana Pacers,2024-05-17
Dallas Mavericks,2024-05-18
Denver Nuggets,2024-05-19
New York Knicks,2024-05-19
Boston Celtics,2024-05-21
Minnesota Timberwolves,2024-05-22
Boston Celtics,2024-05-23
Minnesota Timberwolves,2024-05-24
Indiana Pacers,2024-05-25
Dallas Mavericks,2024-05-26
Indiana Pacers,2024-05-27
Dallas Mavericks,2024-05-28
Minnesota Timberwolves,2024-05-30
Boston Celtics,2024-06-06
Boston Celtics,2024-06-09
Dallas Mavericks,2024-06-12
Dallas Mavericks,2024-06-14
Boston Celtics,2024-06-17
Washington Wizards,2024-11-02
Indiana Pacers,2025-01-23
San Antonio Spurs,2025-01-25
Milwaukee Bucks,2024-12-14
Oklahoma City Thunder,2024-12-14
Oklahoma City Thunder,2024-12-17
Los Angeles Lakers,2025-01-09
Los Angeles Lakers,2025-01-11
New Orleans Pelicans,2025-01-22
Orlando Magic,2025-04-15
Chicago Bulls,2025-04-16
New York Knicks,2025-04-19
Indiana Pacers,2025-04-19
Golden State Warriors,2025-04-15
Sacramento Kings,2025-04-16
Denver Nuggets,2025-04-19
Los Angeles Lakers,2025-04-19
