date,team,acquired,relinquished,notes
2010-11-24,76ers,,Elton Brand,suspended by NBA for 1 game for flagrant foul
2010-11-25,76ers,Elton Brand,,reinstated from suspension
2010-12-03,76ers,Jason Kapono,,activated from IL
2010-12-26,76ers,,Louis Williams / Lou Williams,placed on IL with birth of child
2010-12-27,76ers,,Andre Iguodala,right Achilles tendinitis (DNP)
2010-12-29,76ers,Louis Williams / Lou Williams,,activated from IL
2011-01-03,76ers,,Spencer Hawes,strained back (DNP)
2011-01-05,76ers,,Tony Battie,rotator cuff injury (DTD)
2011-03-28,76ers,,Tony Battie,illness (DTD)
2011-04-01,76ers,Tony Battie,,returned to lineup
2011-12-26,76ers,,Andres Nocioni,toe injury (DTD)
2011-12-31,76ers,Andres Nocioni,,returned to lineup
2012-01-04,76ers,,Nikola Vucevic,strained back (DNP)
2012-01-11,76ers,,Spencer Hawes,strained lower back (DNP)
2012-01-16,76ers,,Evan Turner,bruised right quadricep (DNP)
2012-01-18,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-01-20,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-01-21,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-01-23,76ers,,Nikola Vucevic,strained left quadricep / left knee injury (DNP)
2012-01-23,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-01-25,76ers,,Nikola Vucevic,strained left quadricep (DNP)
2012-01-25,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-01-27,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-01-28,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-02-08,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-02-11,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-02-13,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-02-15,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-02-17,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-02-21,76ers,,Elton Brand,sprained right thumb (DNP)
2012-02-22,76ers,,Elton Brand,sprained right thumb (DNP)
2012-02-22,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-02-28,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-02-29,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-03-07,76ers,,Thaddeus Young,upper respiratory infection (DNP)
2012-03-25,76ers,,Andre Iguodala,patella tendinitis in left knee (DNP)
2012-03-27,76ers,,Andre Iguodala,patella tendinitis in left knee (DNP)
2012-04-18,76ers,,Craig Brackins,personal reasons (DNP)
2012-04-23,76ers,,Doug Collins,fined as head coach $15,000 by NBA for verbally abusing referee
2012-04-25,76ers,,Andre Iguodala,rest (DNP)
2012-04-25,76ers,,Louis Williams / Lou Williams,rest (DNP)
2012-04-25,76ers,,Thaddeus Young,rest (DNP)
2012-04-26,76ers,,Andre Iguodala,rest (DNP)
2012-04-26,76ers,,Jrue Holiday,rest (DNP)
2012-04-26,76ers,,Louis Williams / Lou Williams,rest (DNP)
2012-04-26,76ers,,Thaddeus Young,rest (DNP)
2012-10-01,76ers,,Andrew Bynum,rehab on knee (out indefinitely)
2012-10-31,76ers,,Kwame Brown,strained left calf (DNP)
2012-11-05,76ers,,Jason Richardson,sprained left ankle (DNP)
2012-11-07,76ers,,Jason Richardson,sprained left ankle (DNP)
2012-11-07,76ers,,Kwame Brown,strained left calf (DNP)
2012-11-09,76ers,,Jason Richardson,sprained left ankle (DNP)
2012-11-09,76ers,,Kwame Brown,strained left calf (DNP)
2012-11-10,76ers,,Jason Richardson,sprained left ankle (DNP)
2012-11-10,76ers,,Kwame Brown,strained left calf (DNP)
2012-11-12,76ers,,Kwame Brown,strained left calf (DNP)
2012-12-01,76ers,,Nick Young,hyperextended left big toe (DNP)
2012-12-04,76ers,,Nick Young,hyperextended left big toe (DNP)
2012-12-07,76ers,,Kwame Brown,stomach virus (DNP)
2012-12-07,76ers,,Nick Young,hyperextended left big toe (DNP)
2012-12-07,76ers,,Royal Ivey,strained right groin (DNP)
2012-12-08,76ers,,Nick Young,hyperextended left big toe (DNP)
2012-12-08,76ers,,Royal Ivey,strained right groin (DNP)
2012-12-10,76ers,,Damien Wilkins,strained right calf (DNP)
2012-12-10,76ers,,Royal Ivey,strained right groin (DNP)
2012-12-12,76ers,,Damien Wilkins,strained right calf (DNP)
2012-12-12,76ers,,Royal Ivey,strep throat (DNP)
2012-12-14,76ers,,Jrue Holiday,sprained left foot (DTD)
2012-12-16,76ers,,Jrue Holiday,sprained left foot (DNP)
2012-12-18,76ers,,Jrue Holiday,sprained left foot (DNP)
2012-12-19,76ers,,Jrue Holiday,sprained left foot (DNP)
2012-12-26,76ers,,Jason Richardson,strained lower back (DNP)
2013-01-08,76ers,,Kwame Brown,personal reasons (DNP)
2013-01-09,76ers,,Kwame Brown,personal reasons (DNP)
2013-01-18,76ers,,Kwame Brown,sinus infection (DTD)
2013-01-21,76ers,,Jason Richardson,left knee synovitis (DNP)
2013-01-22,76ers,,Jason Richardson,left knee synovitis (DNP)
2013-01-26,76ers,,Jason Richardson,left knee synovitis (DNP)
2013-01-28,76ers,,Jason Richardson,left knee synovitis (DNP)
2013-01-28,76ers,Kwame Brown,,returned to lineup
2013-01-30,76ers,,Damien Wilkins,personal reasons (DNP)
2013-01-30,76ers,,Jason Richardson,left knee synovitis (DNP)
2013-02-01,76ers,,Jason Richardson,left knee synovitis (DNP)
2013-02-04,76ers,,Jason Richardson,left knee synovitis (DNP)
2013-02-05,76ers,,Thaddeus Young,strained left hamstring (out indefinitely)
2013-02-06,76ers,,Jason Richardson,left knee synovitis (DNP)
2013-02-08,76ers,,Jason Richardson,surgery on left knee (out for season)
2013-03-02,76ers,,Nick Young,sprained left ankle (DNP)
2013-03-03,76ers,,Nick Young,left foot injury (DNP)
2013-03-06,76ers,,Nick Young,sprained left ankle (DNP)
2013-03-08,76ers,,Nick Young,sprained left ankle (DNP)
2013-03-10,76ers,,Nick Young,sprained left ankle (DNP)
2013-03-11,76ers,,Nick Young,sprained left ankle (DNP)
2013-03-18,76ers,,Andrew Bynum,arthroscopic surgery on both knees
2013-04-05,76ers,,Dorell Wright,right elbow injury (DNP)
2013-07-03,76ers,,Spencer Hawes,fined by NBA (unsanctioned alumni game)
2013-09-27,76ers,,Arnett Moultrie,surgery on left ankle (out indefinitely)
2013-10-30,76ers,,Kwame Brown,strained right hamstring (DNP)
2013-11-01,76ers,,Kwame Brown,strained right hamstring (DNP)
2013-11-04,76ers,,Kwame Brown,strained right hamstring (DNP)
2013-11-06,76ers,,Kwame Brown,strained right hamstring (DNP)
2013-11-08,76ers,,Daniel Orton,sore right knee (DNP)
2013-11-08,76ers,,Kwame Brown,strained right hamstring (DNP)
2013-11-09,76ers,,Daniel Orton,sore right knee (DNP)
2013-11-09,76ers,,Kwame Brown,strained right hamstring (DNP)
2013-11-11,76ers,,Daniel Orton,sore right knee (DNP)
2013-11-11,76ers,,Kwame Brown,strained right hamstring (DNP)
2013-11-13,76ers,,Kwame Brown,strained right hamstring (DNP)
2013-11-13,76ers,,Michael Carter-Williams,bruised left foot (DNP)
2013-11-15,76ers,,Kwame Brown,strained right hamstring (DNP)
2013-11-15,76ers,,Michael Carter-Williams,bruised left foot (DNP)
2013-11-16,76ers,,Michael Carter-Williams,bruised left foot (DNP)
2013-11-18,76ers,,Kwame Brown,strained right hamstring (DNP)
2013-11-18,76ers,,Michael Carter-Williams,bruised left foot (DNP)
2013-11-20,76ers,,Thaddeus Young,personal reasons (DNP)
2013-11-22,76ers,,Thaddeus Young,personal reasons (DNP)
2013-11-23,76ers,,Spencer Hawes,sore left knee (DNP)
2013-11-23,76ers,,Thaddeus Young,personal reasons (DNP)
2013-11-23,76ers,,Tony Wroten Jr.,strained lower back (DNP)
2013-11-27,76ers,,Spencer Hawes,sore left knee (DNP)
2013-11-27,76ers,,Tony Wroten Jr.,strained lower back (DNP)
2013-12-06,76ers,,Michael Carter-Williams,sore right knee (DNP)
2013-12-07,76ers,,Michael Carter-Williams,sore right knee (DNP)
2013-12-09,76ers,,Elliot Williams,back injury (DNP)
2013-12-09,76ers,,Michael Carter-Williams,sore right knee (DNP)
2013-12-11,76ers,,Michael Carter-Williams,skin infection (DNP)
2013-12-13,76ers,,Michael Carter-Williams,skin infection (DNP)
2013-12-14,76ers,,Michael Carter-Williams,skin infection (DNP)
2013-12-15,76ers,,Daniel Orton,suspended by NBA for 1 game for fighting
2013-12-16,76ers,,Michael Carter-Williams,skin infection (DNP)
2013-12-20,76ers,,Elliot Williams,back injury (DNP)
2013-12-20,76ers,Daniel Orton,,reinstated from suspension
2013-12-28,76ers,,Evan Turner,sore right knee (DNP)
2014-01-06,76ers,,Tony Wroten Jr.,flu (DNP)
2014-01-07,76ers,,Tony Wroten Jr.,flu (DNP)
2014-01-10,76ers,,Lavoy Allen,strained right calf (DNP)
2014-01-11,76ers,,Lavoy Allen,strained right calf (DNP)
2014-01-15,76ers,,Lavoy Allen,strained right calf (DNP)
2014-01-17,76ers,,Lavoy Allen,left calf injury / strained right calf (DNP)
2014-01-20,76ers,,Brandon Davies,finger injury (DTD)
2014-01-20,76ers,,Tony Wroten Jr.,sprained right ankle (DNP)
2014-01-22,76ers,,Tony Wroten Jr.,sprained right ankle (DNP)
2014-01-24,76ers,,Brandon Davies,fractured right pinky finger (DNP)
2014-01-24,76ers,,Tony Wroten Jr.,sprained right ankle (DNP)
2014-01-29,76ers,,Brandon Davies,fractured right pinky finger (DNP)
2014-01-31,76ers,,Brandon Davies,fractured right pinky finger (DNP)
2014-02-01,76ers,,Brandon Davies,fractured right pinky finger (DNP)
2014-02-01,76ers,,Michael Carter-Williams,sore right shoulder (DNP)
2014-02-05,76ers,,Brandon Davies,fractured right pinky finger (DNP)
2014-02-07,76ers,,Brandon Davies,fractured right pinky finger (DNP)
2014-02-10,76ers,,Hollis Thompson,sprained right ankle (DNP)
2014-02-12,76ers,,Hollis Thompson,sprained right ankle (DNP)
2014-02-18,76ers,,Hollis Thompson,sprained right ankle (DNP)
2014-02-24,76ers,,Danny Granger,DNP
2014-02-24,76ers,,Lorenzo Brown,wrist injury (DNP)
2014-02-26,76ers,,Lorenzo Brown,wrist injury (DNP)
2014-03-08,76ers,,Lorenzo Brown,sore right foot (DNP)
2014-03-10,76ers,,Lorenzo Brown,sore right foot (DNP)
2014-03-12,76ers,,Lorenzo Brown,sore right foot (DNP)
2014-03-17,76ers,,James Anderson,bruised right quadriceps (DNP)
2014-03-19,76ers,,James Anderson,bruised right quadriceps (DNP)
2014-03-22,76ers,,Tony Wroten Jr.,sprained right ankle (DNP)
2014-03-24,76ers,,Tony Wroten Jr.,sprained right ankle (DNP)
2014-03-27,76ers,,Tony Wroten Jr.,sprained right ankle (DNP)
2014-03-29,76ers,,Byron Mullens / B.J. Mullens,sprained left ankle (DNP)
2014-03-31,76ers,,Arnett Moultrie,suspended by NBA for 5 games for violating the league's drug policy
2014-03-31,76ers,,Byron Mullens / B.J. Mullens,sprained left ankle (DNP)
2014-04-02,76ers,,Byron Mullens / B.J. Mullens,sprained left ankle (DNP)
2014-04-04,76ers,,Byron Mullens / B.J. Mullens,sprained left ankle (DNP)
2014-04-05,76ers,,Byron Mullens / B.J. Mullens,sprained left ankle (DNP)
2014-04-09,76ers,,Byron Mullens / B.J. Mullens,sprained left ankle (DNP)
2014-04-12,76ers,,Jarvis Varnado,sore right heel (DNP)
2014-05-06,76ers,,Michael Carter-Williams,surgery on right shoulder to repair torn labrum (out indefinitely)
2014-07-05,76ers,,Pierre Jackson,right Achilles tendon injury (out indefinitely)
2014-10-29,76ers,,Luc Richard Mbah a Moute / Luc Mbah a Moute,back injury (DTD)
2014-10-29,76ers,,Michael Carter-Williams,recovering from shoulder surgery (DNP)
2014-10-31,76ers,,Michael Carter-Williams,recovering from shoulder surgery (DTD)
2014-10-31,76ers,Luc Richard Mbah a Moute / Luc Mbah a Moute,,returned to lineup
2014-11-07,76ers,,Malcolm Thomas,left knee injury (DTD)
2014-11-07,76ers,,Nerlens Noel,sprained left ankle (DTD)
2014-11-10,76ers,Malcolm Thomas,,returned to lineup
2014-11-13,76ers,,Alexey Shved,sore lower back (DTD)
2014-11-13,76ers,Michael Carter-Williams,,returned to lineup
2014-11-13,76ers,Nerlens Noel,,returned to lineup
2014-11-17,76ers,Alexey Shved,,returned to lineup
2014-11-21,76ers,,Jerami Grant,sprained right ankle (DTD)
2014-12-01,76ers,,Nerlens Noel,hip flexor injury (DNP)
2014-12-03,76ers,,Alexey Shved,strained left hip flexor (DTD)
2014-12-03,76ers,Nerlens Noel,,returned to lineup
2014-12-13,76ers,,K.J. McDaniels,sprained left ankle (DTD)
2014-12-15,76ers,K.J. McDaniels,,returned to lineup
2014-12-19,76ers,,Furkan Aldemir,plantar fasciitis right foot (DTD)
2014-12-21,76ers,,Hollis Thompson,upper respiratory illness (DTD)
2014-12-23,76ers,,Tony Wroten Jr.,sprained right knee (DTD)
2014-12-23,76ers,Ronny Turiaf,,returned to lineup
2014-12-26,76ers,Furkan Aldemir,,returned to lineup
2014-12-26,76ers,Tony Wroten Jr.,,returned to lineup
2014-12-27,76ers,,Luc Richard Mbah a Moute / Luc Mbah a Moute,strained left calf (DTD)
2015-01-02,76ers,Luc Richard Mbah a Moute / Luc Mbah a Moute,,returned to lineup
2015-01-03,76ers,,Michael Carter-Williams,sore right shoulder (DTD)
2015-01-05,76ers,,Luc Richard Mbah a Moute / Luc Mbah a Moute,turf toe (DTD)
2015-01-05,76ers,Michael Carter-Williams,,returned to lineup
2015-01-09,76ers,,Andrei Kirilenko,suspended by team indefinitely for failure to report
2015-01-09,76ers,Luc Richard Mbah a Moute / Luc Mbah a Moute,,returned to lineup
2015-01-13,76ers,Hollis Thompson,,returned to lineup
2015-01-14,76ers,,Robert Covington,bruised right shoulder (DTD)
2015-01-14,76ers,,Tony Wroten Jr.,sprained right ankle / knee (DTD)
2015-01-16,76ers,,Malcolm Thomas,right leg injury (DTD)
2015-01-16,76ers,Robert Covington,,returned to lineup
2015-01-17,76ers,Malcolm Thomas,,returned to lineup
2015-01-19,76ers,,Luc Richard Mbah a Moute / Luc Mbah a Moute,bruised left knee (DTD)
2015-01-21,76ers,,Nerlens Noel,illness / upper respiratory infection (DTD)
2015-01-23,76ers,Luc Richard Mbah a Moute / Luc Mbah a Moute,,returned to lineup
2015-01-23,76ers,Nerlens Noel,,returned to lineup
2015-01-26,76ers,,Michael Carter-Williams,upper respiratory infection (DTD)
2015-01-28,76ers,Michael Carter-Williams,,returned to lineup
2015-02-06,76ers,,Michael Carter-Williams,strained right big toe (DTD)
2015-02-21,76ers,Andrei Kirilenko,,reinstated from suspension
2015-02-22,76ers,,Luc Richard Mbah a Moute / Luc Mbah a Moute,personal reasons (DTD)
2015-02-23,76ers,,Jason Richardson,bruised left knee (DTD)
2015-02-23,76ers,,Jerami Grant,bruised lower back (DTD)
2015-02-23,76ers,Luc Richard Mbah a Moute / Luc Mbah a Moute,,returned to lineup
2015-02-25,76ers,Jason Richardson,,returned to lineup
2015-02-25,76ers,Jerami Grant,,returned to lineup
2015-03-02,76ers,,Jason Richardson,bruised left wrist (DTD)
2015-03-02,76ers,,Robert Covington,bruised right elbow (DTD)
2015-03-04,76ers,Jason Richardson,,returned to lineup
2015-03-06,76ers,Robert Covington,,returned to lineup
2015-03-13,76ers,,Jason Richardson,rest (DTD)
2015-03-14,76ers,,Furkan Aldemir,bruised ribs (DTD)
2015-03-14,76ers,,Luc Richard Mbah a Moute / Luc Mbah a Moute,rest (DTD)
2015-03-14,76ers,Jason Richardson,,returned to lineup
2015-03-16,76ers,Luc Richard Mbah a Moute / Luc Mbah a Moute,,returned to lineup
2015-03-18,76ers,Furkan Aldemir,,returned to lineup
2015-03-20,76ers,,Thomas Robinson,bruised ribs (DTD)
2015-03-22,76ers,Thomas Robinson,,returned to lineup
2015-03-24,76ers,,Jason Richardson,rest (DTD)
2015-03-25,76ers,,Luc Richard Mbah a Moute / Luc Mbah a Moute,sore left shoulder (DTD)
2015-03-25,76ers,Jason Richardson,,returned to lineup
2015-03-27,76ers,Luc Richard Mbah a Moute / Luc Mbah a Moute,,returned to lineup
2015-03-29,76ers,,Jason Richardson,left knee injury (DTD)
2015-03-30,76ers,,Jerami Grant,illness / upper respiratory infection (DTD)
2015-03-30,76ers,,Luc Richard Mbah a Moute / Luc Mbah a Moute,sore left shoulder (DTD)
2015-04-01,76ers,Jason Richardson,,returned to lineup
2015-04-01,76ers,Jerami Grant,,returned to lineup
2015-04-01,76ers,Luc Richard Mbah a Moute / Luc Mbah a Moute,,returned to lineup
2015-04-03,76ers,,Isaiah Canaan,sprained right foot (out for season)
2015-04-04,76ers,,Thomas Robinson,sprained left ankle (DTD)
2015-04-05,76ers,,Luc Richard Mbah a Moute / Luc Mbah a Moute,sore left shoulder (DTD)
2015-04-08,76ers,Luc Richard Mbah a Moute / Luc Mbah a Moute,,returned to lineup
2015-04-08,76ers,Thomas Robinson,,returned to lineup
2015-04-10,76ers,,Luc Richard Mbah a Moute / Luc Mbah a Moute,sore/strained left shoulder (out for season)
2015-04-10,76ers,,Nerlens Noel,sprained right ankle (out for season)
2015-04-11,76ers,,Ishmael Smith / Ish Smith,strained left groin (DTD)
2015-04-13,76ers,,Jason Richardson,sore left knee (out for season)
2015-04-13,76ers,Ishmael Smith / Ish Smith,,returned to lineup
2015-04-15,76ers,,Furkan Aldemir,plantar fasciitis in right foot (out for season)
2015-07-11,76ers,,Joel Embiid,surgery on right foot to undergo bone graft (out for season) (date approximate)
2015-08-19,76ers,,Joel Embiid,surgery on right foot to have 2 screws replaced and a bone graft (out for season) (P)
2015-10-26,76ers,,Robert Covington,sprained MCL in right knee (DTD)
2015-10-28,76ers,,Kendall Marshall,right knee injury (out indefinitely)
2015-10-28,76ers,,Nik Stauskas,back spasms (DTD)
2015-10-30,76ers,Nik Stauskas,,returned to lineup
2015-11-02,76ers,Robert Covington,,returned to lineup
2015-11-03,76ers,,Robert Covington,sprained MCL in right knee (DTD)
2015-11-09,76ers,,Nerlens Noel,sore left wrist (DTD)
2015-11-11,76ers,,Richaun Holmes,strained right hamstring (DTD)
2015-11-13,76ers,Nerlens Noel,,returned to lineup
2015-11-16,76ers,,Phil Pressey,illness (DTD)
2015-11-16,76ers,Robert Covington,,returned to lineup
2015-11-18,76ers,Phil Pressey,,returned to lineup
2015-11-21,76ers,Richaun Holmes,,returned to lineup
2015-11-25,76ers,,Nik Stauskas,bruised left knee (DTD)
2015-11-27,76ers,,Nerlens Noel,sore right knee (DTD)
2015-11-27,76ers,Nik Stauskas,,returned to lineup
2015-12-01,76ers,Nerlens Noel,,returned to lineup
2015-12-02,76ers,,Jahlil Okafor,suspended by team for 2 games for conduct detrimental to the team (player was involved in 2 altercations at nightclubs and was cited for speeding)
2015-12-06,76ers,Jahlil Okafor,,reinstated from suspension
2015-12-11,76ers,,Tony Wroten Jr.,sore right knee (DNP)
2015-12-14,76ers,,Nerlens Noel,left eye corneal abrasion (DTD)
2015-12-14,76ers,Tony Wroten Jr.,,returned to lineup
2015-12-18,76ers,Nerlens Noel,,returned to lineup
2015-12-22,76ers,,Kendall Marshall,sore right knee (DTD)
2015-12-26,76ers,,Jahlil Okafor,sore right knee (DTD)
2015-12-30,76ers,Jahlil Okafor,,returned to lineup
2016-01-01,76ers,,Hollis Thompson,corneal abrasion in right eye (DTD)
2016-01-04,76ers,Hollis Thompson,,returned to lineup
2016-01-14,76ers,,Jerami Grant,strained left calf (DTD)
2016-01-16,76ers,,Nik Stauskas,bruised left shoulder (DTD)
2016-01-18,76ers,Jerami Grant,,returned to lineup
2016-01-24,76ers,Nik Stauskas,,returned to lineup
2016-01-26,76ers,,JaKarr Sampson,upper respiratory infection (DTD)
2016-01-27,76ers,,Elton Brand,personal reasons (DTD)
2016-01-30,76ers,,Elton Brand,placed on IL for personal reasons
2016-01-30,76ers,JaKarr Sampson,,returned to lineup
2016-02-03,76ers,Elton Brand,,activated from IL
2016-02-06,76ers,,Ishmael Smith / Ish Smith,sprained left ankle (DTD)
2016-02-08,76ers,Ishmael Smith / Ish Smith,,returned to lineup
2016-02-10,76ers,,Nerlens Noel,right knee patella tendinitis (DTD)
2016-02-19,76ers,Nerlens Noel,,returned to lineup
2016-02-24,76ers,,T.J. McConnell,sprained right ankle (DTD)
2016-02-26,76ers,T.J. McConnell,,returned to lineup
2016-02-28,76ers,,Hollis Thompson,upper respiratory infection (DTD)
2016-02-29,76ers,,Jahlil Okafor,bruised right shin (DTD)
2016-03-02,76ers,,Elton Brand,gastroenteritis (DTD) (CBC)
2016-03-02,76ers,Hollis Thompson,,returned to lineup
2016-03-03,76ers,,Jerami Grant,fined $10,000 by NBA for throwing water bottle into stands during game
2016-03-04,76ers,,Kendall Marshall,upper respiratory infection (DTD)
2016-03-04,76ers,,Nerlens Noel,bruised right knee (DTD)
2016-03-04,76ers,Elton Brand,,returned to lineup (CBC)
2016-03-09,76ers,Kendall Marshall,,returned to lineup
2016-03-09,76ers,Nerlens Noel,,returned to lineup
2016-03-12,76ers,,Jerami Grant,concussion (DTD)
2016-03-12,76ers,,Richaun Holmes,strained right Achilles tendon (DTD)
2016-03-12,76ers,,Robert Covington,concussion (DTD)
2016-03-17,76ers,Jerami Grant,,returned to lineup
2016-03-20,76ers,,Richaun Holmes,strained right Achilles tendon (DTD) (P)
2016-03-21,76ers,,Richaun Holmes,strained right Achilles tendon (DTD) (P)
2016-03-22,76ers,,Jahlil Okafor,arthroscopic surgery on right knee to repair torn meniscus (out for season)
2016-03-23,76ers,,Kendall Marshall,gastroententis (DTD)
2016-03-23,76ers,,Nerlens Noel,bruised right knee (DTD)
2016-03-23,76ers,Robert Covington,,returned to lineup
2016-03-23,76ers,Richaun Holmes,,returned to lineup
2016-03-26,76ers,Kendall Marshall,,returned to lineup
2016-03-27,76ers,,Richaun Holmes,strained right Achilles tendon (out for season)
2016-03-28,76ers,,Jerami Grant,sore knee (DTD)
2016-03-29,76ers,,Jerami Grant,bruised right knee (DTD)
2016-04-01,76ers,Jerami Grant,,returned to lineup
2016-04-02,76ers,,Hollis Thompson,upper respiratory infection (DTD)
2016-04-05,76ers,Hollis Thompson,,returned to lineup
2016-04-05,76ers,Nerlens Noel,,returned to lineup
2016-04-08,76ers,,Carl Landry,sore/strained lower back (out for season)
2016-04-08,76ers,,Isaiah Canaan,torn labrum in left shoulder (out for season)
2016-04-13,76ers,,Nik Stauskas,knee injury (out for season)
2016-10-01,76ers,,Ben Simmons,fractured right foot (out for season)
2016-10-04,76ers,,Ben Simmons,surgery on right foot to repair fracture (out for season)
